BasinName,BasinSites,HUCS
NORTH PLATTE TOTAL RIVER BASIN,06H11;1030;1119;367;389;05J02;1046;408;438;06H17;923;449;06H12;08G04;06H02;551;571;1134;09G06;06H03;1196;06H16;1031;06H05;668;673;06J02;05H01;06H18;1032;716;718;06H06;1015;731;772;775;825;852;859;869;872,1020
SOUTH PLATTE RIVER BASIN,1161;COOP0778;05J01;05J02;COOP1675;1045;438;COOP4442;1122;551;05J27;05H01;870,1020
LITTLE SNAKE RIVER BASIN,COOP0484;317;06J37;449;467;07H01;1047;673;1015;732;859,120702
GREEN above Warren Bridge,460;506;944;555;597,
UPPER GREEN - West Side,353;10G21;765;779;831,140401
NEWFORK RIVER,468;661;1133;09G11,
BIG SANDY-EDEN VALLEY,342;1134;09G06,10260007
UPPER GREEN RIVER BASIN,10G11;342;353;COOP0951;COOP2242;460;468;COOP3170;506;944;555;597;661;COOP7260;1133;09G11;10G21;765;779;831,140401
GREEN above Fontenelle,10G11;342;353;460;468;506;944;555;597;661;1133;09G11;10G21;765;779;831,
HAMS FORK RIVER,10G11;509;544;554,
BLACKS FORK,1162;1192;1163;521;790,14040107
HENRYS FORK,1193;522;528;1117,
LOWER GREEN RIVER BASIN,10G11;COOP0761;1162;1192;1163;COOP3396;COOP4065;509;1193;521;522;528;544;554;COOP5105;COOP6555;COOP7845;1117;790,1406
GREEN above FLAMING GORGE,10G11;342;1162;353;1192;460;1163;468;506;944;509;1193;521;522;528;544;554;555;597;661;1133;09G11;10G21;765;1117;779;790;831,
UPPER BEAR RIVER in Utah,992;1135;392;517;579;10J17,1601
SMITHS & THOMAS FORKS,10G11;554;730,
UPPER BEAR RIVER BASIN,992;10G11;374;1135;392;COOP3100;COOP3582;517;554;579;634;730,1601
